title,location,price,size,listing_type,link,source,rooms
122 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","39,500 OMR",122.0,For Sale,https://om.opensooq.com/en/search/265544899,opensooq,
112 m2 3 Bedrooms Apartments for Sale in Muscat Ghubrah,", Ghubrah, 980242XX","50,000 OMR",112.0,For Sale,https://om.opensooq.com/en/search/266793043,opensooq,
51 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 980242XX","27,000 OMR",51.0,For Sale,https://om.opensooq.com/en/search/266806033,opensooq,
أنا المالك للبيع مكتب غير مؤجر في غلا جنب فندق سنتارا مساحه 245 متر بسعر مميز,", Ghala, 924618XX","125,000 OMR",245.0,For Sale,https://om.opensooq.com/en/search/257121045,opensooq,
62 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 998915XX","27,000 OMR",62.0,For Sale,https://om.opensooq.com/en/search/262215863,opensooq,
96 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 727272XX","33,500 OMR",96.0,For Sale,https://om.opensooq.com/en/search/266552083,opensooq,
امتلك محلك الآن في موقع حيوي – قيد الإنشاء في قلب المعبيلة,", Al Maabilah, 933322XX","52,000 OMR",36.0,For Sale,https://om.opensooq.com/en/search/266123197,opensooq,
115 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 727272XX","40,500 OMR",115.0,For Sale,https://om.opensooq.com/en/search/266551979,opensooq,
مكاتب قيد الإنشاء مع تسهيلات دفع – مثالية للاستثمار في المعبيلة,", Al Maabilah, 933322XX","25,000 OMR",71.0,For Sale,https://om.opensooq.com/en/search/266122887,opensooq,
152 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 966664XX","120,000 OMR",152.0,For Sale,https://om.opensooq.com/en/search/265642593,opensooq,
51 m2 1 Bedroom Apartments for Sale in Dhofar Salala,", Salala, 929177XX","16,000 OMR",51.0,For Sale,https://om.opensooq.com/en/search/266827015,opensooq,
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 993407XX","4,100 OMR",,For Sale,https://om.opensooq.com/en/search/265700467,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 977987XX","92,000 OMR",,For Sale,https://om.opensooq.com/en/search/264621263,opensooq,
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 915666XX","12,000 OMR",,For Sale,https://om.opensooq.com/en/search/264519855,opensooq,
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 915666XX","12,000 OMR",,For Sale,https://om.opensooq.com/en/search/264519767,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","10,500 OMR",,For Sale,https://om.opensooq.com/en/search/265491129,opensooq,
Residential Land for Sale in Dhofar Salala,", Salala, 921022XX","30,000 OMR",,For Sale,https://om.opensooq.com/en/search/265866071,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 977987XX","11,700 OMR",,For Sale,https://om.opensooq.com/en/search/263751329,opensooq,
101 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 919111XX","47,000 OMR",101.0,For Sale,https://om.opensooq.com/en/search/266708989,opensooq,
463 m2 5 Bedrooms Villa for Sale in Buraimi Al Buraimi,", Al Buraimi, 925619XX","75,000 OMR",463.0,For Sale,https://om.opensooq.com/en/search/259035155,opensooq,
Residential Land for Sale in Dhofar Salala,", Salala, 990887XX","37,000 OMR",,For Sale,https://om.opensooq.com/en/search/266708191,opensooq,
252 m2 4 Bedrooms Townhouse for Sale in Al Batinah Suwaiq,", Suwaiq, 966665XX","47,000 OMR",252.0,For Sale,https://om.opensooq.com/en/search/267030309,opensooq,
Commercial Land for Sale in Al Batinah Suwaiq,", Suwaiq, 984848XX","15,000 OMR",,For Sale,https://om.opensooq.com/en/search/265890099,opensooq,
farm land for land in masnaah near barka batinah,", Al Masnaah, 993583XX","99,000 OMR",,For Sale,https://om.opensooq.com/en/search/263631049,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","1,000,000 OMR",,For Sale,https://om.opensooq.com/en/search/257574277,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","52,000 OMR",,For Sale,https://om.opensooq.com/en/search/265859087,opensooq,
Farm Land for Sale in Al Batinah Suwaiq,", Suwaiq, 923895XX","15,500 OMR",,For Sale,https://om.opensooq.com/en/search/267027845,opensooq,
71 m2 3 Bedrooms Apartments for Sale in Dhofar Salala,", Salala, 955550XX","23,000 OMR",71.0,For Sale,https://om.opensooq.com/en/search/266864779,opensooq,
223 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham,", Saham, 711272XX","36,000 OMR",223.0,For Sale,https://om.opensooq.com/en/search/265667825,opensooq,
Farm Land for Sale in Al Batinah Sohar,", Sohar, 941557XX","35,000 OMR",,For Sale,https://om.opensooq.com/en/search/267026831,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 929015XX","4,000 OMR",,For Sale,https://om.opensooq.com/en/search/267026645,opensooq,
Residential Land for Sale in Al Batinah Barka,", Barka, 933883XX","20,500 OMR",,For Sale,https://om.opensooq.com/en/search/266217329,opensooq,
Commercial Land for Sale in Muscat Amerat,", Amerat, 911195XX","26,000 OMR",,For Sale,https://om.opensooq.com/en/search/264051075,opensooq,
Farm Land for Sale in Muscat Bosher,", Bosher, 911195XX","19,000 OMR",,For Sale,https://om.opensooq.com/en/search/266539001,opensooq,
مقهى كرك فاخر للبيع في بركاء,", Barka, 977222XX","5,500 OMR",60.0,For Sale,https://om.opensooq.com/en/search/267025293,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","33,000 OMR",,For Sale,https://om.opensooq.com/en/search/260086733,opensooq,
Farm Land for Sale in Muscat Amerat,", Amerat, 911195XX","82,000 OMR",,For Sale,https://om.opensooq.com/en/search/263538371,opensooq,
Commercial Land for Sale in Muscat Al Maabilah,", Al Maabilah, 911195XX","200,000 OMR",,For Sale,https://om.opensooq.com/en/search/266110165,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","8,000 OMR",,For Sale,https://om.opensooq.com/en/search/266752543,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","38,000 OMR",,For Sale,https://om.opensooq.com/en/search/264810611,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","2,600 OMR",,For Sale,https://om.opensooq.com/en/search/266752833,opensooq,
90 m2 2 Bedrooms Apartments for Sale in Dhofar Salala,", Salala, 784888XX","17,500 OMR",90.0,For Sale,https://om.opensooq.com/en/search/265801533,opensooq,
123 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 940700XX","32,000 OMR",123.0,For Sale,https://om.opensooq.com/en/search/266752709,opensooq,
270 m2 5 Bedrooms Townhouse for Sale in Al Batinah Saham,", Saham, 986844XX","55,000 OMR",270.0,For Sale,https://om.opensooq.com/en/search/265955175,opensooq,
Residential Land for Sale in Muscat Bosher,", Bosher, 977987XX","115,000 OMR",,For Sale,https://om.opensooq.com/en/search/266916721,opensooq,
Freehold Brand New 4-Bedroom Townhouse for Sale in Muscat Hills,", Muscat Hills, 786427XX","260,000 OMR",309.0,For Sale,https://om.opensooq.com/en/search/266163505,opensooq,
"1-Bedroom Apartment with Stunning Ocean Views – The Great Escape Building, AIDA",", Yiti, 944477XX","75,000 OMR",72.0,For Sale,https://om.opensooq.com/en/search/260570073,opensooq,
Twin villa for sale Al ghubra opposite Royal hospital,", Ghubrah, 928219XX","189,000 OMR",500.0,For Sale,https://om.opensooq.com/en/search/260518997,opensooq,
Farm Land for Sale in Dhofar Thumrait,", Thumrait, 925418XX","230,000 OMR",,For Sale,https://om.opensooq.com/en/search/266749167,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","11,300 OMR",,For Sale,https://om.opensooq.com/en/search/265903801,opensooq,
Residential Land for Sale in Al Dakhiliya Izki,", Izki, 992429XX","15,000 OMR",,For Sale,https://om.opensooq.com/en/search/266648597,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","29,500 OMR",,For Sale,https://om.opensooq.com/en/search/264106387,opensooq,
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 949377XX","2,850 OMR",,For Sale,https://om.opensooq.com/en/search/266477209,opensooq,
Residential Land for Sale in Al Batinah Barka,", Barka, 922111XX","14,300 OMR",,For Sale,https://om.opensooq.com/en/search/264654453,opensooq,
Farm Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 991117XX","100,000 OMR",,For Sale,https://om.opensooq.com/en/search/266364643,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","8,500 OMR",,For Sale,https://om.opensooq.com/en/search/265683371,opensooq,
310 m2 4 Bedrooms Villa for Sale in Al Dakhiliya Bahla,", Bahla, 771350XX","49,000 OMR",310.0,For Sale,https://om.opensooq.com/en/search/266364205,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","18,900 OMR",,For Sale,https://om.opensooq.com/en/search/263732327,opensooq,
For sale in MQ Duplex That Offers the Perfect Blend of Location and Luxury with installments,", Madinat As Sultan Qaboos, 915716XX","62,000 OMR",114.0,For Sale,https://om.opensooq.com/en/search/264023725,opensooq,
114 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos,", Madinat As Sultan Qaboos, 915716XX","62,000 OMR",114.0,For Sale,https://om.opensooq.com/en/search/264023761,opensooq,
"For sale flat 2BHK in the most classy area in  MQ opposite of salam square,next to oasis mall in",", Madinat As Sultan Qaboos, 915716XX","47,500 OMR",80.0,For Sale,https://om.opensooq.com/en/search/264023949,opensooq,
64 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","21,500 OMR",64.0,For Sale,https://om.opensooq.com/en/search/264025059,opensooq,
58 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","18,000 OMR",58.0,For Sale,https://om.opensooq.com/en/search/264025373,opensooq,
61 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","20,000 OMR",61.0,For Sale,https://om.opensooq.com/en/search/264026621,opensooq,
118 m2 2 Bedrooms Apartments for Sale in Muscat Qurm,", Qurm, 915716XX","63,000 OMR",118.0,For Sale,https://om.opensooq.com/en/search/264269415,opensooq,
247 m2 4 Bedrooms Villa for Sale in Muscat Bosher,", Bosher, 969317XX","105,000 OMR",247.0,For Sale,https://om.opensooq.com/en/search/265526557,opensooq,
Residential Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 711115XX","45,000 OMR",,For Sale,https://om.opensooq.com/en/search/266314117,opensooq,
361 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 992093XX","88,000 OMR",361.0,For Sale,https://om.opensooq.com/en/search/265740227,opensooq,
Building for Sale in Al Dakhiliya Nizwa,", Nizwa, 957720XX","79,000 OMR",553.0,For Sale,https://om.opensooq.com/en/search/266403859,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","14,800 OMR",,For Sale,https://om.opensooq.com/en/search/261473865,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","6,700 OMR",,For Sale,https://om.opensooq.com/en/search/264202411,opensooq,
55 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 985308XX","19,900 OMR",55.0,For Sale,https://om.opensooq.com/en/search/266052415,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 995505XX","55,000 OMR",,For Sale,https://om.opensooq.com/en/search/264885131,opensooq,
370 m2 5 Bedrooms Villa for Sale in Muscat Al-Hail,", Al-Hail, 956652XX","151,000 OMR",370.0,For Sale,https://om.opensooq.com/en/search/266528505,opensooq,
Industrial Land for Multiple Uses أرض صناعية متعددة الاستخدامات للبيع – فرصة استثمارية ذهبية,", Sohar, 921701XX","100,000 OMR",,For Sale,https://om.opensooq.com/en/search/266587575,opensooq,
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 970897XX","15,000 OMR",,For Sale,https://om.opensooq.com/en/search/266907747,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","11,400 OMR",,For Sale,https://om.opensooq.com/en/search/264203319,opensooq,
Residential Land for Sale in Al Batinah Barka,", Barka, 944488XX","25,500 OMR",,For Sale,https://om.opensooq.com/en/search/267014731,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","13,900 OMR",,For Sale,https://om.opensooq.com/en/search/261169035,opensooq,
Residential Land for Sale in Al Batinah Barka,", Barka, 969666XX","9,700 OMR",,For Sale,https://om.opensooq.com/en/search/266289773,opensooq,
386 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 926643XX","135,000 OMR",386.0,For Sale,https://om.opensooq.com/en/search/266961935,opensooq,
Residential Land for Sale in Al Batinah Barka,", Barka, 964041XX","22,500 OMR",,For Sale,https://om.opensooq.com/en/search/265736631,opensooq,
396 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 774469XX","143,000 OMR",396.0,For Sale,https://om.opensooq.com/en/search/266852351,opensooq,
345 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 715110XX","70,000 OMR",345.0,For Sale,https://om.opensooq.com/en/search/265620169,opensooq,
128 m2 3 Bedrooms Apartments for Sale in Muscat Al Khuwair,", Al Khuwair, Call","50,000 OMR",128.0,For Sale,https://om.opensooq.com/en/search/265736307,opensooq,
149 m2 5 Bedrooms Townhouse for Sale in Muscat Muttrah,", Muttrah, 959599XX","17,000 OMR",149.0,For Sale,https://om.opensooq.com/en/search/266610165,opensooq,
Building for Sale in Muscat Al Maabilah,", Al Maabilah, 944488XX","330,000 OMR",1150.0,For Sale,https://om.opensooq.com/en/search/265376171,opensooq,
Industrial Land for Sale in Muscat Rusail,", Rusail, 990123XX","80,000 OMR",,For Sale,https://om.opensooq.com/en/search/266357775,opensooq,
Residential Land for Sale in Al Sharqiya Other,", Other, 929015XX",Chat,,For Sale,https://om.opensooq.com/en/search/263077991,opensooq,
62 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 933322XX","19,000 OMR",62.0,For Sale,https://om.opensooq.com/en/search/266152843,opensooq,
127 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 992144XX","52,000 OMR",127.0,For Sale,https://om.opensooq.com/en/search/265671399,opensooq,
معارض للبيع في العامرات السادسة,", Amerat, 992144XX","41,000 OMR",126.0,For Sale,https://om.opensooq.com/en/search/265508099,opensooq,
Commercial Land for Sale in Muscat Madinat As Sultan Qaboos,", Madinat As Sultan Qaboos, 915716XX","455,000 OMR",,For Sale,https://om.opensooq.com/en/search/265468285,opensooq,
